EMS_NO,FAC_NAME,COUNTY_NAME,DOCUMENT_NO,TRANSGRESS_DATE,TRANSGRESS_LAW,PENALTY_MONEY,PENALTY_DATE,ISPETITION,PETITION_RESULTS,APPEAL_OR_RESCIND,TRANSGRESS_TYPE,FAC_ADDRESS,TRANSGRESS_NAME,OPENINFOR,LAWSUIT_DATE_1,ILLEGAL_MONEY,TRACK_ILLEGAL_MONEY,COUNTY_CODE,PETITION_AGENCY,FAC_UNIFORMNO,TRANSGRESS_ADDRESS,SUBJECT,GIST_DEFINE,IMPROVE_DEADLINE,INSPECTION_CONDITION,TRANSGRESS_CONTROL_ID,IS_IMPROVE,INSPECTION_DATETIME_S,PENALTYKIND,ISIMPORTANT,PAYMENTSTATE,ISREMINDER,ISADMINCOURT,IsReduceMoney
T51A0931,財夯實業股份有限公司堆肥場,屏東縣,40-109-070006,2020-07-30,廢棄物清理法第12條第1項，廢棄物清理法第31條第1項第2款，廢棄物清理法第36條第1項,26400,2020-07-30,0,,,事業廢棄物,"屏東縣鹽埔鄉高華段九八五地號,高華段九九一地號,高華段九九二地號",財夯實業股份有限公司堆肥場,一、於場區停車場旁肥料半成品貯存區未有防止地面水、雨水及地下水流入、滲透之設備或措施，且未於明顯處以中文標示廢棄物名稱，違反廢棄物清理法第36條第1項規定。二、於廢水沉澱池旁鐵皮建物貯存一般廢棄物-廚餘，產生之廢液有滲出、污染附近地面情形，違反廢棄物清理法第12條第1項規定。三、經勾稽108年4月至109年2月網路申報資料，發現未正確申報產生之動植物性殘渣混合物(D-0199)、廢塑膠混合物(D-0299)之產出、貯存情形，質量未達平衡，違反廢棄物清理法第31條第1項第2款規定。,,,,20,,42571494,"屏東縣鹽埔鄉高華段九八五地號,高華段九九一地號,高華段九九二地號",罰鍰新臺幣26400元整。限改日期：109年08月31日。處環境講習2小時整。,違反廢棄物清理法第12條第1項及廢棄物清理法第31條第1項第2款及廢棄物清理法第36條第1項之規定，並依廢棄物清理法第52條裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-08-31,,T51A0931,待改善,,罰鍰(非連續處罰)，限期改善,,尚未繳款,否,否,
Q7003938,玨興食品實業有限公司,嘉義縣,22-109-070016,2020-07-23,噪音管制法第9條第1項第1款,60000,2020-07-30,0,,,噪音污染,嘉義縣溪口鄉柳溝村柳子溝五○之一號,玨興食品實業有限公司,貴公司位於本縣溪口鄉柳溝村柳子溝50-1號之工廠，遭民眾陳情豆類製品製程噪音擾寧，業經本府以108年11月18日府授環空字第1080243241號函（正本諒達）、109年3月3日府授環空字第1090040275號函（正本諒達）、109年4月22日府授環空字第1090075310號函（正本諒達)、109年7月2日府授環空字第1090143310號函（正本諒達)通知按次或按日連續處罰在案。本縣環境保護局接獲民眾陳情再於109年7月23日派員前往量測噪音值64.6分貝，仍超過管制標準(47分貝)，已違反噪音管制法第9條第1項第1款規定，妥依同法第24條第1項第1款處罰鍰新臺幣6萬元整。爾後經民眾陳情仍未符合噪音管制標準者，按次或按日連續處罰至符合噪音管制標準為止。,,,,17,,56637313,嘉義縣溪口鄉柳溝村柳子溝50之1號,罰鍰新臺幣60000元整。處環境講習8小時整。,違反噪音管制法第9條第1項第1款之規定，並依噪音管制法第24條第1項第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,Q7003938,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A42097001405,嘉泰營造股份有限公司,臺北市,22-109-070106,2020-07-22,噪音管制法第9條第1項第4款，噪音管制標準第6條,18000,2020-07-30,0,,,噪音污染,臺北市內湖區民權東路六段一六○號一三樓,嘉泰營造股份有限公司-107建字第0148號新建(含拆除)工程,"營建工程- 噪音(20Hz至20kHz)超過管制標準。(測量值：68.3分貝、管制標準值：67分貝)(工程名稱:濟盟東新街新建工程、建造執照:107建字第0148號)",,,,01,,14055589,臺北市南港區東新街180巷5號旁,罰鍰新臺幣18000元整。處環境講習2小時整。,違反噪音管制法第9條第1項第4款及噪音管制標準第6條之規定，並依噪音管制法第24條第1項第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,A41B2306,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
H42097005200,振昇營造股份有限公司,苗栗縣,41-109-071339,2020-07-17,廢棄物清理法第27條第2款,6000,2020-07-28,0,,,一般廢棄物,桃園市桃園區同德十一街五八號六樓之一,振昇營造股份有限公司-商喬企業有限公司等168戶集合住宅新建工程,貴公司車輛未做好防制措施致車輛輪胎附帶廢土、汙泥，嚴重污染道路路面。,,,,12,,22268038,苗栗縣苗栗市維祥里光華街98號,罰鍰新臺幣6000元整。處環境講習1小時整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。依環境教育法第23條第2款之規定裁處環境講習,,,K68A5373,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
F0627649,通盈通運股份有限公司,桃園市,21-109-070206,2020-07-17,空氣污染防制法第36條第1項,3000,2020-07-21,0,,,移動污染,新北市新莊區新樹路二四○號一樓,通盈通運股份有限公司,貴公司車輛(車號：032-JQ)排放黑煙不透光率為2.5m¯¹，超過移動污染源空氣污染物排放標準。,,,,10,,86379220,桃園市龜山區振興路旁,罰鍰新臺幣3000元整。限改日期：109年08月24日。,違反空氣污染防制法第36條第1項之規定，並依空氣污染防制法第66條第1項第1款裁處。,2020-08-24,,F0627649,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,
H52A2933,億昇塑膠有限公司,桃園市,40-109-070074,2020-07-17,廢棄物清理法第42條,6000,2020-07-16,0,,,事業廢棄物,桃園市新屋區新生里和平街四六號一樓,億昇塑膠有限公司,貴公司係屬公民營廢棄物清除機構，領有桃園市政府核發之廢棄物清除許可證(證號：106桃園市廢乙清字第0109號)，應依廢棄物清理法第42條暨公民營廢棄物清除處理機構許可管理辦法第25條規定略以：「清除、處理機構設置之清除、處理技術員未能從事業務或離職時，該機構應依下列規定辦理：…二、於九十日內另聘符合資格規定者繼任。…」，經查貴公司技術人員蔡政融君於108年9月30日離職，貴公司雖然於109年7月2日第00001號函向桃園市政府辦理清除許可證變更申請（另設蔡政璋君為技術人員），惟貴公司未於90日內前另聘符合資格規定者繼任，核已違反前開規定。,,,,10,,53032419,桃園市新屋區新生里和平街四六號一樓,罰鍰新臺幣6000元整。,違反廢棄物清理法第42條之規定，並依廢棄物清理法第55條第1款裁處。,,,H52A2933,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
A42C5045,力興精密科技有限公司,臺北市,41-109-073561,2020-07-15,廢棄物清理法第27條第2款,1200,2020-07-29,0,,,一般廢棄物,臺北市內湖區新明路二四六巷三弄一二號,力興精密科技有限公司,"垃圾委由民間代清除業者代清運，但於合約收集時間外置戶外待運，污染路面(污染程度A=1,污染特性B=1,危害程度C=1)",,,,01,,28854324,臺北市內湖區新明路246巷3弄口,罰鍰新臺幣1200元整。,違反廢棄物清理法第27條第2款之規定，並依廢棄物清理法第50條第3款裁處。,,,A42C5045,不須改善,,罰鍰(非連續處罰),,尚未繳款,否,否,
H5301217,先豐通訊股份有限公司觀音廠,桃園市,30-109-070047,2020-07-14,水污染防治法第18條,16500,2020-07-25,0,,,水污染,桃園市觀音區經建一路一六、二七號,先豐通訊股份有限公司觀音廠,本府環境保護局於109年7月14日派員前往稽查，經查現場廠房增建工程已完工，未於施工前檢具逕流廢水削減計畫報主管機關核准，並據以實施。,,,,10,,22554807,桃園市觀音區工業區段三小段76地號等8筆,罰鍰新臺幣16500元整。處環境講習2小時整。,違反水污染防治法第18條之規定，並依水污染防治法第46條裁處。依環境教育法第23條第2款之規定裁處環境講習,,,H5301217,不須改善,,罰鍰(非連續處罰),否,尚未繳款,否,否,
H4606455,益興隆企業股份有限公司,桃園市,21-109-070246,2020-07-14,空氣污染防制法第36條第1項,5000,2020-07-27,0,,,移動污染,桃園市蘆竹區南崁路二段二二八巷一三○號,益興隆企業股份有限公司,貴公司車輛(車號：F5-398)排放黑煙不透光率為3.1m¯¹，超過移動污染源空氣污染物排放標準。,,,,10,,16187662,桃園市大園區國際路二段旁,罰鍰新臺幣5000元整。限改日期：109年08月31日。處環境講習1小時整。,違反空氣污染防制法第36條第1項之規定，並依空氣污染防制法第66條第1項第1款裁處。依環境教育法第23條第2款之規定裁處環境講習,2020-08-31,,H4606455,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,
H46A9301,雙合交通有限公司,桃園市,21-109-070243,2020-07-13,空氣污染防制法第36條第1項,3000,2020-07-27,0,,,移動污染,桃園市蘆竹區六福路五號,雙合交通有限公司,貴公司車輛(車號：910-XK)排放黑煙不透光率為1.9m¯¹，超過移動污染源空氣污染物排放標準。,,,,10,,16951407,桃園市蘆竹區南山路三段旁,罰鍰新臺幣3000元整。限改日期：109年08月31日。,違反空氣污染防制法第36條第1項之規定，並依空氣污染防制法第66條第1項第1款裁處。,2020-08-31,,H46A9301,待改善,,罰鍰(非連續處罰)，限期改善,否,尚未繳款,否,否,
